Word,Function,Definition,Origin,,,,,,
kaysi,Action,"start, to turn on, begin",Sinitic,,開始,,,,
kayu,Action,keep (an animal) ; herd,Koreo-Japonic ,ko,키우다,jp,飼(か)う,,
kek,Action,carve,Sinitic,,刻,,,,
kel,Objects and Concept,shield,Austroasiatic,th,เขน,vi,khiên,km,ខែល
kelu,Action,to cut,Koreo-Japonic,ko,가르다,ja,きる,,
keluko,Objects and Concept,sword,Compound,,,,,,
kem,Objects and Concept,cheek,Austroasiatic,th,แก้ม,lo,ແກ້ມ,,
gen,Action,look / see,Sinitic,,見;觀,,,,
gengcat,Objects and Concept,police,Sinitic,,警察,,,,
kentang,Objects and Concept,potato,Austronesian,ms/id,kentang,,,,
keta,Objects and Concept,Buddhist temple,Sanskrit,,क्षेत्र,,(kṣetra),,
gwetdeng,Action,"decide, pick, choose",Sinitic,,決定,,,,
geylwan,Objects and Concept,egg,Sinitic,,鷄卵,,,,
geysyan,Action,calculate,Sinitic,,計算,,,,
geysyok,Action,"continue, keep (verb)",Sinitic,,繼續,,,,
gi'ek,Action,"remember, recall",Sinitic,,記憶,,,,
gibit,Action,write,Sinitic,,記,,,,
kibot,Objects and Concept,keyboard,Western: English,en,keyboard,,,,
kicune,Objects and Concept,fox,Koreo-Japonic,ja,きつね,,,,
kisyang,Action,"wake up, getting up (from bed)",Sinitic,,起床,,,,
kilesa,Objects and Concept,sin; stress; emotional damage,Sanskrit,,क्लेश ,,(kleśa),,
gimsyok,Objects and Concept,metal,Sinitic,,金屬,,,,
king,Objects and Concept,ginger,Austroasiatic,th,ขิง,lo,ຂີງ,,
gip,Action,give,Sinitic,,給,,,,
kkkkk[...],,"laughter, LOL (informal, online)",N/A,,,,,,
ko,Objects and Concept,this,Koreo-Japonic,ko,그,ja,こ,,
ko,Objects and Concept,portrusion (from an affixed noun),N/A,,,,,,
koci,Objects and Concept,"tip (object), twist (literary) ",Koreo-Japonic,ko,꼭지,jp,おし,,
kodi,Objects and Concept,here,Compound,,ko + di,,,,
godok,Quality,lonely,Sinitic,,孤獨,,,,
gokjey,Quality,international,Sinitic,,國際,,,,
gokga,Objects and Concept,nation,Sinitic,,國家,,,,
goknay,Quality,domestic (not international),Sinitic,,國內,,,,
golaw,Quality,"old, elder",Sinitic,,古老,,,,
"kom, koma",Objects and Concept,"kid, child, children",Koreo-Japonic,ko,꼬마,ja,こ,,
koma,Objects and Concept,bear,Koreo-Japonic,ko,곰,ja,くま,,
kompyuta,Objects and Concept,computer,Western: English,en,computer,,,,
kon,Objects and Concept,butt,Austroasiatic,th,ก้น,lo,ກົ້ນ,,
gongbeng,Quality,"fair, just",Sinitic,,公平,,,,
konggang,Objects and Concept,airport,Sinitic,,空港,,,,
kongki,Objects and Concept,air,Sinitic,,空氣,,,,
gongsyek,Quality,"equation, formula",Sinitic,,公式 ,,,,
konok,Objects and Concept,feather,Austroasiatic,th,ขนนก,lo,ຂົນ+ນົກ,,
kontulola,Objects and Concept,controller,Western: English,en,controller,,,,
kosilay,Objects and Concept,whale,Koreo-Japonic,ko,고래,jp,くじら,,
kot,Objects and Concept,place / space,Koreo-Japonic,ko,곳,,,,
kot,Objects and Concept,thing,Koreo-Japonic,ko,것,ja,こと,,
kotong,Objects and Concept,"pain, agony",Sinitic,,苦痛,,,,
gyu,Objects and Concept,"nine (compounds; also see ""nawa"")",Sinitic,,九,,,,
gowmay,Action,buy,Sinitic,,購買,,,,
gowjaw,Objects and Concept,structure,Sinitic,,構造,,,,
gyu,Quality,old,Sinitic,,久,,,,
kubi,Objects and Concept,"neck, throat",Koreo-Japonic,ja,くび,,,,
kucing,Objects and Concept,cat; other felines,Austronesian,ms/id,kucing,,,,
kuku,Objects and Concept,nails (anatomy),Austronesian,ms/id,kuku,,,,
kuku,Objects and Concept,nails (on fingers or toes),Austronesian,ms/id/jv,kuku,tg,kuko,,
kulat,Objects and Concept,"fungi, fungus, mushroom",Austronesian,ms,kulat,,,,
kulit,Objects and Concept,"skin, leather",Austronesian,ms/id,kulit,,,,
kung,Quality,black,Koreo-Japonic,ko,검은,ja,くろ,,
kung pipal,Objects and Concept,black pepper,Compound,,,,,,
kutu,Objects and Concept,"shoes, boots, footwear",Koreo-Japonic,ko,구두,,くつ,,
kwa,Objects and Concept,fear,Austroasiatic,th,กลัว,lo,ກົວ,,
gwao,Objects and Concept,"mistake, blame, fault",Sinitic,,過誤,,,,
gwada,Quality,"extra, excess, remaining",Sinitic,,過多,,,,
gwadasyuymen,Action,"oversleep, sleep in",Sinitic,,過多睡眠,,,,
kwakwak,Objects and Concept,"duck, weird, strange",Sound-based,,,,,,
gwako,Objects and Concept,past,Sinitic,,過去,,,,
gwangkwat,Quality,vast,Sinitic,,廣闊,,,,
gwanlen,Quality,"related to, about",Sinitic,,關聯,,,,
gwaysyu,Objects and Concept,monster; beast,Sinitic,,怪獸,,,,
gwibom,Objects and Concept,norm; standard; model; prescribed,Sinitic,,規範,,,,
gwijekdek,Quality,"regular, periodic, normal",Sinitic,,規則的,,,,
gwisin,Objects and Concept,spirits; ghosts,Sinitic,,鬼神,,,,
kyaceng,Quality,domestic (at home),,,,,,,
gajok,Objects and Concept,family,Sinitic,,家族,,,,
gawsit,Objects and Concept,classroom,Sinitic,,敎室,,,,
gawyok,Action,"teach, inform, tell",Sinitic,,敎育,,,,
gethon,Action,marry,Sinitic,,結婚,,,,
ko,Action,"go, pass (e.g. days), leave",Sinitic,,去,,,,
labip,Objects and Concept,lips,Austronesian,ms/id,bibir,tl,labi,,
lagu,Objects and Concept,lag,Western: English,en,lag,,,,
laja,Objects and Concept,king,Sanskrit,,राजन् ,,rā́jan,,
lajini,Objects and Concept,queen (wife of king),Sanskrit,,,,,,
lajini,Objects and Concept,queen (female ruler),Sanskrit,,,,,,
lang'it,Objects and Concept,sky,Austronesian,ms/id,langit,tl,langit,,
langaw,Objects and Concept,fly (insect),Austronesian,id/ms,langau,tg,langaw,,
langka,Objects and Concept,roof,Austroasiatic,th,หลังคา,lo,ຫຼັງ+ຄາ(枷),,
langkay,Objects and Concept,"body, torso",Austroasiatic,th,ร่างกาย,lo,ຮ່າງກາຍ ,,
lantay,Objects and Concept,floor,Austronesian,ms/id,lantai,,,,
laot,Objects and Concept,sea,Austronesian,ms/id,laut,tl,lawa ,,
lay,Action,come,Sinitic,,來,,,,
lema,Quality,weak,Austronesian,ms/id,lemah,,,,
leng,Quality,cool (literal and as English slang) ,Sinitic,,冷,,,,
lenken,Objects and Concept,arms,Compound,ms,lengan,th,แขน,,
lenken-ko,Objects and Concept,wrist,Compound,,,,,,
lensip,Action,practice,Sinitic,,練習,,,,
letca,Objects and Concept,train,Sinitic,,列車,,,,
ley,Objects and Concept,example,Sinitic,,例,,,,
li,Particle,"marks a verb as a passive verb, where the object performs the action to a subject",Koreo-Japonic,ko,C+이,jp,られ,,
lida,Objects and Concept,tongue,Austronesian,ms/id,lidah,,,,
ligay,Action,"understand, comprehend",Sinitic,,理解,,,,
lip,Action,"stand, to rise, to lift, grow",Sinitic,,立,,,,
lip,Objects and Concept,"elevator, a lift",Sinitic,,口+立,,,,
loheng,Action,"visit, travel",Sinitic,,旅行,,,,
lomansa,Objects and Concept,Romance (linguistics),Western: Spanish,es,romanza,,(via Tagalog),,
losyao,Objects and Concept,russian (language),Compound,,,,,,
lu,Particle,"(direct object marker), (accusative)",Koreo-Japonic,ko,을/를,jp,を,,
lyok,Objects and Concept,"six (compounds; see also ""sasa"")",Sinitic,,六,,,,
lupa,Objects and Concept,"form, shape, image, photograph",Sanskrit,,रूप,,rūpá,,
lutu,Objects and Concept,season,Sanskrit,,ऋतु  ,,(ṛtú),,
luwang,Objects and Concept,room,Austronesian,ms/id,ruang,th,โรง,km,រោង
lweng,Quality,yellow,Austronesian,,,,,,
lwisi,Quality,"like, similar",Sinitic,,類似,,,,
lyawli,Action,to cook,Sinitic,,料理,,,,
lyawli (ji) lwang,Objects and Concept,kitchen,Compound,,,,,,
yawwan,Quality,far,Sinitic,,遙遠,,,,
mabop,Objects and Concept,magic,Sinitic,,魔法,,,,
maha,Quality,expensive,Sanskrit,,महार्घ,,(mahārgha),,
mala,Quality,"angry, mad, upset",Austronesian,ms/id,marah,,,,
malay'o,Objects and Concept,malaysian (language),Compound,,,,,,
mama,Objects and Concept,"mom, mother, mama",N/A,,,,,,
man,Objects and Concept,"ten-thousand, (poetic) all",Sinitic,,萬,,,,
mang,Quality,busy,Sinitic,,忙,,,,
mangkuk,Objects and Concept,bowl,Austronesian,ms/id,mangkuk,tl,mangkok,jv,mangkok
mangkak,Action,forget,Sinitic,,忘却,,,,
manhway,Objects and Concept,"comics, manga",Sinitic,,漫畵,,,,
manmin,Objects and Concept,everyone,Sinitic,,萬民,,,,
"manu, manusya",Objects and Concept,human,Sanskrit,,मनुष्य ,,(manuṣya),,
mata,Objects and Concept,eyes,Austronesian,ms/id,mata,tl,mata,,
matwi,Objects and Concept,"village; town, rural, countryside",Koreo-Japonic,ko,마을,ja,まち,,
mawsu,Objects and Concept,mouse (computing) ,Western: English,en,mouse,,,,
maya,Objects and Concept,illusion,Sanskrit,,माया,,māyā,,
maya,Action,to put in an illusion,Sanskrit,,माया,,māyā,,
mayhway,Quality,"everytime, each time",Sinitic,,每回,,,,
mayjang,Action,to bury (funeral),Sinitic,,埋葬 ,,,,
maymay,Objects and Concept,younger sister,Sinitic,,妹妹,,,,
maynen,Objects and Concept,"yearly, every year",Sinitic,,每年,,,,
maynit,Objects and Concept,"everyday, daily",Sinitic,,每日,,,,
mayula,Objects and Concept,peafowl,Sanskrit ,,मयूर,,mayūra,,
mengji,Objects and Concept,"name (Sinitic form: also see ""naman"")",Sinitic,,名字,,,,
mi,Quality,"still, yet",Sinitic,,未,,,,
miji,Objects and Concept,rainbow,Koreo-Japonic,ko,무지개,ja,にじ,,
milay,Objects and Concept,future,Sinitic,,未來,,,,
miley,Quality,beautiful,Sinitic,,美麗,,,,
misyut,Objects and Concept,art,Sinitic,,美術,,,,
mawji,Objects and Concept,hat,Sinitic,,帽子,,,,
moli,Objects and Concept,horse,Altaic,mn,морь,,,,
mong,Action,dream,Sinitic,,夢,,,,
monyet,Objects and Concept,monkey,Austronesian,ms/id,monyet,,,,
moyek,Objects and Concept,trade; commerce,Sinitic,,貿易,,,,
mu,Quality,"absence, without",Sinitic,,無,,,,
mujeyhan,Quality,"unlimited, infinite",Sinitic,,無制限,,,,
mula,Quality,cheap,Austronesian,ms/in,murah,tg,mura,,
muley,Objects and Concept,"group, crowd",Koreo-Japonic,ko,무리,ja,むれ,,
mun,Objects and Concept,sentence,Sinitic,,文,,,,
munbop,Objects and Concept,grammar,Sinitic,,文法,,,,
mundey,Objects and Concept,"problem, issue",Sinitic,,問題,,,,
munhak,Objects and Concept,Literature,Sinitic,,文學,,,,
munhwa,Objects and Concept,"culture, civilization",Sinitic,,文化,,,,
munji,Objects and Concept,"letters, script, writing system, morpheme",Sinitic,,文字,,,,
may'u,Objects and Concept,monsoon,Sinitic,,梅雨,,,,
mwisu,Objects and Concept,water,Koreo-Japonic,ko,물,ja,みず,,
mwisuboti,Objects and Concept,Mercury (planet),Compound,,mwisu +boti,,,,
mwisuhali,Objects and Concept,wednesday,Compound,,mwisu +hali,,,,
myaw,Objects and Concept,"cat, kitty",Compound,,,,,,
myaw,Objects and Concept,second,Sinitic,,秒,,,,
na,Particle,(topic marker),Koreo-Japonic,ko,은/는,jp,は,,
nadang,Objects and Concept,window,Austroasiatic,th,หน้าต่าง,,,,
naga,Objects and Concept,"naga, dragon",Sanskrit,,नाग ,,(nāgá),,
nagala,Objects and Concept,city,Sanskrit,,नगर ,,(nágara),,
nakyat,Quality,ugly,Austroasiatic,th,น่าเกลียด,lo,ຫນ້າກຽດ ,,
nala,Objects and Concept,man; male,Sanskrit,,नर ,,(nára),,
nama,Objects and Concept,"name (Sanskrit form; also see ""mengji"")",Sanskrit,,नामन्,,nā́man,,
namgon,Objects and Concept,penis (anatomy),Sinitic,,男根,,,,
namlay,Objects and Concept,"saliva, spit",Austroasiatic,th,น้ำลาย,lo,ນ້ໍາລາຍ,,
namsek,Objects and Concept,"gay, male homosexuality",Sinitic,,男色,,,,
namta,Action,"cry, weep, tears",Austroasiatic,th,น้ำตา,lo,ນ້ຳ + ຕາ ,km, + តា 
nangay,Quality,"difficult, hard (task), tough",Sinitic,,難解,,,,
nawa,Objects and Concept,"nine (standalone; also see ""kow"")",Sanskrit,,नवन् ,,návan,,
nay,Quality,inside,Sinitic,,內,,,,
ne,Particle,"(indirect object marker), (dative)",Koreo-Japonic,ko,에,jp,に,,
ne,Particle,"by, (agent marker)",Koreo-Japonic,ko,에,jp,に,,
nehoy,Quality,"scent, smell",Koreo-Japonic,ko,냄새,ja,におい,,
nemjak,Action,"sticky, (ling) Agglutinative",Sinitic,,粘着,,,,
nen,Objects and Concept,"year (in compounds; also see ""tahon"")",Sinitic,,年,,,,
neng,Action,"able, can",Sinitic,,能,,,,
nenglik,Objects and Concept,"ability, talent",Sinitic,,能力,,,,
nenleng,Objects and Concept,age,Sinitic,,年齡,,,,
ni,Objects and Concept,"two (compounds; also see ""dwi"")",Sinitic,,二,,,,
nifa,Objects and Concept,teeth,Koreo-Japonic,ko,이빨,ja,は,,
nimsin,Objects and Concept,"pregnancy, conception",Sinitic,,妊娠,,,,
ninsik,Action,recognize,Sinitic,,認識,,,,
nipkow,Objects and Concept,enterance,Sinitic,,入口,,,,
nit,Objects and Concept,"sun (compounds; also see ""hali"")",Sinitic,,日,,,,
nitbon,Objects and Concept,japan,Sinitic,,日本,,,,
nitbon'o,Objects and Concept,japanese (language),Sinitic,,日本語,,,,
nitcut,Action,sunrise,Sinitic,,日出,,,,
nitjihali,Objects and Concept,sunday,Compound,,nit + hali,,,,
nitsyang,Quality,"daily life, ordinary",Sinitic,,日常,,,,
nolok,Objects and Concept,surprise,Koreo-Japonic,ko,놀라다,jp,おどろき,,
nuli,Quality,"slow, late",Koreo-Japonic,ko,느리다,,,,
numpa,Objects and Concept,pond; swamp,Koreo-Japonic,ko,늪,ja,ぬま,,
nyak,Particle,if (hypothetical - concluding),Sinitic,,若,,,,
nyatun,Objects and Concept,summer,Koreo-Japonic,ko,여름,ja,なつ,,
nyusu,Objects and Concept,news,Western: English,,news,,,,
o,Objects and Concept,"five (compounds; see also ""panca"")",Sinitic,,五,,,,
ogaw,Objects and Concept,face,Koreo-Japonic,ko,얼굴,ja,かお,,
oji,Objects and Concept,sir,Koreo-Japonic,ko,아쩌씨,ja,おじさん,,
olasi,Objects and Concept,snake,Austronesian,ms/id,ular,tl,ahas,,
omay,Objects and Concept,ma'am,Koreo-Japonic,ko,어머니,ja,おばさん,,
onjwen,Objects and Concept,hot springs,Sinitic,,溫泉 ,,,,
onlain,Quality,online,Western: English,en,online,,,,
otaw,Action,"sing, song",Koreo-Japonic,ko,부르다,ja,うた,,
otaw,Objects and Concept,"sing, song",Koreo-Japonic,ko,부르다,ja,うた,,
otaw (ji) sap,Objects and Concept,lyrics,Compound,,,,,,
oton,Objects and Concept,adult,Koreo-Japonic,ko,어른,ja,おとな,,
pa'ok (fway),Action,stir-fry,Compound,th,ผัด,kr,볶다,,
pabo,Objects and Concept,turkey bird,Western: Spanish ,es,pavo,,,,
pacima,Quality,west,Sanskrit,,पश्चिम ,,(paścima) ,,
pagway,Action,"destroy, break",Sinitic,,破壞,,,,
pak,Objects and Concept,mouth,Austroasiatic,th,ปาก,lo,ປາກ,,
pala,Objects and Concept,fruit,Sanskrit,,फल ,,(phála),,
palamita,Objects and Concept,"(Buddhism) perfection or culmination of certain virtues, 
metaphorically on the other side of a river from the mortal world.",Sanskrit,,पारमिता ,,pāramitā,,
palu,Objects and Concept,hammer,Austronesian,ms/id,palu,,,,
panca,Objects and Concept,"five (standalone; also see ""o"")",Sanskrit,,पञ्चन्,,páñcan,,
bandway,Action,"to oppose, to decline",Sinitic,,反對,,,,
pang,Objects and Concept,bread,Western: Portuguese,pt,paõ,,,,
pantalon,Objects and Concept,pants,Western: Spanish,es,pantalones,,(via Tagalog),,
panya,Action,to know (understand),Sanskrit,,प्रज्ञा,,(prájñā),,
panya,Objects and Concept,wisdom,Sanskrit,,प्रज्ञा,,(prájñā),,
pap,Objects and Concept,popping sound,N/A,,,,,,
pasawa,Objects and Concept,urine; pee,Sanskrit,,,,,,
pasom,Action,to mix,Austroasian,th,ผสม,lo,ຜະສົມ,km,ផ្សំ
patana,Objects and Concept,partner,Western: English,en,partner,,,,
pating,Objects and Concept,Shark,Austronesian,tl,pating,,,,
pedan,Objects and Concept,ceiling,Austroasiatic,th,เพดาน,lo,ເພດານ ,km,ពិតាន 
pen'an,Action,to be well,Sinitic,,便安,,,,
panyek,Action,translate,Sinitic,,飜譯,,,,
penyek-ko,Objects and Concept,the translation,Compound,,,,,,
penyu,Objects and Concept,turtles,Austronesian,ms/id,penyu,,,,
bi,Particle,"in contrast, on the other hand, in comparison",Sinitic,,比,,,,
pi'an ji candala,Objects and Concept,(Only for translations from Japanese) the month of the Equinox,N/A,,,,,,
pi'ay ji ogao,Objects and Concept,frown,Compound,,,,,,
piano (pi'ano),Objects and Concept,piano,Western: Italian,it,piano,,,,
pilo,Objects and Concept,pillow,Western: English,en,pillow,,,,
pintu,Objects and Concept,door,Austronesian,ms/id,pintu,,,,
pipali,Objects and Concept,pepper,Sanskrit,,पिप्पलि ,,(pippali),,
pisaw,Objects and Concept,"knife, dagger, sharp object",Austronesian,ms/id,pisau,,,,
pom,Objects and Concept,hair,Austroasiatic,th,ผม,lo,ຜົມ ,,
pon,Objects and Concept,tree,Austronesian,ms/id,pohon,tl,puno,,
ponjiboti,Objects and Concept,Jupiter,Compound,,pon + boti,,,,
ponjihali,Objects and Concept,thursday,Compound,,pon + hali,,,,
pontiku,Objects and Concept,squirrel,Austronesian,,,,,,
puba,Quality,east,Sanskrit,,पूर्व ,,(pū́rva),,
puyok,Action,"raise, grow",Sinitic,,撫育,,,,
byawjun,Objects and Concept,standard,Sinitic,,標準,,,,
saba,Objects and Concept,server,Western: English,en,server,,,,
saci,Objects and Concept,woman; female,Sanskrit,,स्त्री ,,(strī́),,
sadang,Objects and Concept,brown sugar,Sinitic,,沙糖,,,,
sakti,Objects and Concept,"power, ability",Sanskrit,,शक्ति,,(śákti),,
sala,Quality,"no, false, incorrect, lie",Austronesian,ms/id,salah,tg,sala,,
salasap,Action,to (tell a) lie,Compound,,,,,,
sam,Objects and Concept,"three (compounds; also see ""tili"")",Sinitic,,三,,,,
samkata'o,Objects and Concept,Sanskrit (language),Compound,,,,,,
sampa,Objects and Concept,"trash, garbage",Austronesian,ms/id,sampah,,,,
samsala,Objects and Concept,(the cycle of) reincarnation,Sanskrit,,संसार,,saṃsāra,,
sanbo,Action,walk,Sinitic,,散步,,,,
"sap, sapda",Objects and Concept,"word; to talk; to claim; voice, say",Sanskrit,,शब्द ,,(śábda),,
sapan,Objects and Concept,bridge,Austroasiatic,th,สะพาน,km,ស្ពាន,lo,ສະພານ
sapta,Objects and Concept,"seven (standalone; also see ""cit"")",Sanskrit,,सप्त,,saptá,,
sata,Action,to know (knowledge),Sanskrit,,शास्त्र ,,(śāstra),,
sata,Objects and Concept,"knowledge, fact, law",Sanskrit,,शास्त्र ,,(śāstra),,
satan,Objects and Concept,Satan; supreme evil,Western: English,en,satan,,,,
sathay,Action,"kill, murder",Sinitic,,殺害,,,,
satu,Objects and Concept,enemy,Sanskrit,,शत्रु ,,śátru,,
syek'yang,Action,sunset,Sinitic,,夕陽,,,,
syenghwa,Acion,"become, turn into, becoming",Sinitic,,成化,,,,
syenghwat,Action,to live life,Sinitic,,生活,,,,
syengjwa,Objects and Concept,constellation,Sinitic,,星座,,,,
syengmeng,Objects and Concept,life,Sinitic,,生命,,,,
syengmengyu,Action,to have life,Sinitic,,生命 有,,,,
syensyeng,Objects and Concept,"teacher (also see ""gulu"")",Sinitic,,先生,,,,
syetdang,Objects and Concept,white sugar,Sinitic,,雪糖,,,,
syeydek,Action,"wash, clean",Sinitic,,洗滌,,,,
si,Objects and Concept,"four (compounds; see also ""catula"") ",Sinitic,,四,,,,
sikek,Objects and Concept,hour (of day),Sinitic,,時刻,,,,
siden,Objects and Concept,dictionary,Sinitic,,辭典,,,,
sido,Action,try,Sinitic,,試圖,,,,
jidongca,Objects and Concept,"car, automobile",Sinitic,,自動車,,,,
sigan,Objects and Concept,hour (quantity of time),Sinitic,,時間,,,,
sigan,Objects and Concept,"time (concept, see also ""tahi""), hour (unit of measure)",Sinitic,,時間,,,,
sigo,Objects and Concept,"accident, incident (an event)",Sinitic,,事故,,,,
sik,Action,"eat, drink, swallow",Sinitic,,食,,,,
sikaw,Action,think,Sinitic,,思考,,,,
syekcit,Action,"draw, paint",Sinitic,,色漆,,,,
sikko,Objects and Concept,"food, meal",Compound,,,,,,
syekmut,Objects and Concept,"plant, vegetation",Sinitic,,植物,,,,
sila,Objects and Concept,"virtue, moral principle",Sanskrit,,शील,,(śīla),,
sim'en,Objects and Concept,abyss,Sinitic,,深淵,,,,
simang,Action,"die, death, pass away",Sinitic,,死亡,,,,
simga,Action,"join, participate",Sinitic,,參加,,,,
sin,Quality,new,Sinitic,,新,,,,
singa,Objects and Concept,lion,Sanskrit,,सिंह ,,(siṃhá),,
syengli,Action,win,Sinitic,,勝利,,,,
sinsya,Objects and Concept,a Shintō shrine,Sinitic,,神社,,,,
sin'yong,Action,to trust,Sinitic,,信用,,,,
sin'yong,Objects and Concept,trust,Sinitic,,信用,,,,
sip,Objects and Concept,"ten (compounds; also see ""dasa"")",Sinitic,,十,,,,
sisim,Objects and Concept,deer,Koreo-Japonic,ko,사슴,ja,しし,,
sisya,Objects and Concept,"student; disciple (also see ""hakseng"")",Sanskrit,,शिष्य,,(śiṣya),,
sitjitdek,Quality,"practically, actually",Sinitic,,實質的,,,,
sitlek,Objects and Concept,"skill, talent",Sinitic,,實力,,,,
syocek,Objects and Concept,book,Sinitic,,書冊,,,,
sode,Objects and Concept,sleeve,Koreo-Japonic,ko,소매,jp,そで,,
sokosoko,Action,"whisper, mumur",Sound-based,,,,,,
syomun,Objects and Concept,foreward (literature),Sinitic,,序文,,,,
syonsit,Action,lose (posession of item),Sinitic,,損失,,,,
suka,Objects and Concept,"joy, happiness, being happy",Sanskrit,,सुख,,sukhá,,
suna,Objects and Concept,sand,Koreo-Japonic,ja,,,,,
sunya,Objects and Concept,zero,Sanskrit,,शून्य,,śūnya,,
supika,Objects and Concept,speaker (computing),Western: English,en,speaker,,,,
syusi,Objects and Concept,numbers,Sinitic,,數詞,,,,
susuk,Action,"brush, polish, scrub",Sound-based,,,,,,
swa,Action,"become, to be transformed",Sinitic,,成化,,,,
syey,Objects and Concept,years of age,Sinitic,,歲,,,,
swi,Quality,sour,Koreo-Japonic,ko,신 < 쉰,ja,すい,,
jaknit,Objects and Concept,yesterday,Sinitic,,昨日,,,,
syang'ep,Objects and Concept,business; trade; commerce,Sinitic,,商業,,,,
syangdey,Objects and Concept,God (monotheism); supreme good,Sinitic,,上帝,,,,
syangho,Quality,"mutual, each other",Sinitic,,相互,,,,
syangjeng,Objects and Concept,upstairs; upper class,Sinitic,,上層,,,,
jangki,Objects and Concept,"internal organs, intestines",Sinitic,,臟器,,,,
syangho,Objects and Concept,"each other, mutual, reciprocal",Sinitic,,相互,,,,
syangsi,Quality,"always, constantly",Sinitic,,常時,,,,
syangsyeng,Action,to lift,Sinitic,,上昇,,,,
syangyong,Action,to use commonly,Sinitic,,常用,,,,
syaw,Quality,small; less,Sinitic,,"小, 少",,,,
syawbi,Action,"to spend, expend, consume",Sinitic,,消費,,,,
syawgay,Action,introduce,Sinitic,,紹介,,,,
syawi,Objects and Concept,"die, dice",Koreo-Japonic,ko,주사위,jp,さいころ,,
syawnen,Objects and Concept,boy,Sinitic,,少年,,,,
syawnyo,Objects and Concept,girl,Sinitic,,少女,,,,
syem,Objects and Concept,island,Koreo-Japonic,ko,섬,ja,しま,,
syensi,Objects and Concept,science,Western: English,en,science,,,,
syeygay,Objects and Concept,world,Sinitic,,世界,,,,
syoka,Objects and Concept,salt,Koreo-Japonic,ko,소금,ja,しお,,
syokamwisu,Objects and Concept,"unami fermented sauces (fish sauce, soy sauce, etc.)",Compound,,,,,,
syokdey,Objects and Concept,homework,Sinitic,,宿題,,,,
syonghol,Objects and Concept,bird of prey,Altaic,mn,шонхор,,,,
syow,Objects and Concept,milk,Compound,ko,젖,vt,sữa,mn,сүү 
syucu,Action,receive,Sinitic,,受取,,,,
syuep,Objects and Concept,"lesson, a class",Sinitic,,授業,,,,
syuymen,Action,sleep,Sinitic,,睡眠,,,,
syumen-en swa,Action,fall asleep,Compound,,,,,,
syuymenwan,Quality,"tired, sleepy",Sinitic,,睡眠願,,,,
syunsyo,Objects and Concept,order (in a series),Sinitic,,順序,,,,
syuyeng,Action,swim,Sinitic,,水泳,,,,
syuy,Particle,even if,Sinitic,,雖,,,,
ta,Quality,other (compounds only),Sinitic,,他,,,,
denggek,Action,"punch, hit, slap",Sinitic,,打擊,,,,
tabako,Objects and Concept,"cigarette, tabaco",Western: Spanish,es,tabaco,,(via Tagalog),,
tagalog'o,Objects and Concept,tagalog,Compound,,,,,,
tahi,Objects and Concept,"time (concept), moment",Koreo-Japonic,ko,때,ja,とき,,
tahi-tahi,Objects and Concept,sometimes,Compound: Koreo-Japonic,,,,,,
tahi-tahi-dek,Quality,"often, habitually",Compound: Koreo-Japonic,,,,,,
tahon,Objects and Concept,"year (standalone; also see ""nen"")",Austronesian,,,,,,
taksi,Objects and Concept,taxi,Western: English,en,taxi,,,,
takut,Quality,"afraid, scared",Austronesian,ms/id,takut,,,,
takyap,Objects and Concept,chopsticks; tweezers; pincers,Austroasiatic,th,ตะเกียบ,lo,ຕະຂຽບ,km,ថ្កៀប
talang,Objects and Concept,table,Austroasiatic,th,ตาราง,km,តារាង,,
tali,Objects and Concept,"rope, bonds",Austronesian,ms/id/tg,tali,,,,
tana,Objects and Concept,"earth, soil",Austronesian,ms/id,tanah,,,,
tanaboti,Objects and Concept,Saturn,Compound,,tana + boti,,,,
tanahali,Objects and Concept,saturday,Compound,,tana + hali,,,,
tangsi,Objects and Concept,spoon,Sinitic,,湯匙,,,,
tansyeng,Action,to be born; birth,Sinitic,,誕生,,,,
tasik,Objects and Concept,lake; inland sea,Austronesian,ms/id,tasik,,,,
tay,Objects and Concept,hands,Austroasiatic,vi,tay,,,,
tay'o,Objects and Concept,thai (language),Compound,,,,,,
taypong,Objects and Concept,storm,Sinitic,,颱風,,,,
tayko,Objects and Concept,fingers,Compound,,,,,,
tayko (ji) kuku,Objects and Concept,finger nails,Compound,,,,,,
taywan,Objects and Concept,taiwan,Sinitic,,台灣,,,,
teley,Action,"carry, bring, move (something)",Koreo-Japonic,ko,데리다,ja,つれる,,
telinga,Objects and Concept,ears,Austronesian,ms/id,telinga,,,,
teluk,Objects and Concept,bay,Austronesian,ms/id,teluk,,,,
tengcu,Action,"hear, listen",Sinitic,,聽取,,,,
"tenki, hi",Objects and Concept,weather,Sinitic,,天氣,,,,
tensi,Objects and Concept,angel; agent of the order and good,Sinitic,,天使,,,,
tensyang,Objects and Concept,Heavenly Realm,Sinitic,,天上,,,,
teyjong,Quality,weight,Sinitic,,體重,,,,
ti,Objects and Concept,"three (standalone; also see ""sam"")",Sanskrit,,त्रि,,trí,,
tiku,Objects and Concept,"mouse, rat",Austronesian,ms/id,tikus,,,,
dowbu,Objects and Concept,tofu,Sinitic,,豆腐,,,,
tok (fway),Action,deep-fry,Compound,,,,,,
toli,Objects and Concept,"bird, fowl",Koreo-Japonic,ja,とり,,,,
